date,open,high,low,close,adj Close,volume
04/04/2014,17,17,16.42,18,18,127870
07/04/2014,18,18,18,18,18,0
08/04/2014,17.5,17.5,17.5,17.5,17.5,0
09/04/2014,17,17,17,16.5,16.5,3704
10/04/2014,16.75,16.75,16.75,16,16,3558
11/04/2014,16,15.25,15.25,16,16,30000
14/04/2014,16,16,16,16,16,0
15/04/2014,16,16,16,16,16,0
16/04/2014,17,17.25,16.75,16,16,110838
17/04/2014,16,16,16,16,16,0
22/04/2014,16.579,16.75,15.6,16,16,86186
23/04/2014,16,16,16,16,16,0
24/04/2014,16,16,16,16,16,0
25/04/2014,16,16,16,16,16,0
28/04/2014,16.579,16.579,16.579,16,16,1507
29/04/2014,16,16,16,16,16,0
30/04/2014,16.75,16.75,16.75,16,16,597
01/05/2014,16,16,16,16,16,0
02/05/2014,15,16.629999,15,15.5,15.5,10100
06/05/2014,15.25,15.25,15.25,15.25,15.25,0
07/05/2014,15.25,15.25,15.25,15.25,15.25,0
08/05/2014,16.190001,16.190001,15,15.25,15.25,11500
09/05/2014,15.25,15.25,15.25,15.25,15.25,0
12/05/2014,14.75,15,14.75,13.5,13.5,25040
13/05/2014,13,13,13,13,13,3558
14/05/2014,14,14,14,13.5,13.5,10000
15/05/2014,14.9,16.530001,14.72,13.75,13.75,525795
16/05/2014,14.92,15.42,14.9,15.25,15.25,38378
19/05/2014,15.25,15.25,15.25,15.25,15.25,0
20/05/2014,15.25,15.25,15.25,15.25,15.25,0
21/05/2014,14.1,14.1,14.1,13.75,13.75,25000
22/05/2014,13.899,13.899,13.1,13.25,13.25,20058
23/05/2014,13.505,14.82,13.505,13.82,13.82,154232
27/05/2014,15.8,15.8,14.1,14,14,41895
28/05/2014,13.1,13.8,13.1,14,14,40053
29/05/2014,14,14,14,14,14,0
30/05/2014,13.1,13.1,13.1,14,14,20000
02/06/2014,14,14,14,14,14,0
03/06/2014,13.22,13.8,13.22,13.5,13.5,127573
04/06/2014,13.8,14.5,12.65,12.75,12.75,100534
05/06/2014,12.75,12.75,12.75,12.75,12.75,0
06/06/2014,12.65,13.4,11.6,13.25,13.25,164539
09/06/2014,12.6,12.6,12.5,11.75,11.75,91375
10/06/2014,11.5,11.5,11.5,11.5,11.5,0
11/06/2014,11.5,11.5,11.5,11.5,11.5,0
12/06/2014,12,12,12,11.5,11.5,4062
13/06/2014,12,12,12,12,12,10000
16/06/2014,12.78,12.78,12.78,12,12,782
17/06/2014,12,12,12,12,12,0
18/06/2014,11.25,11.25,11.25,12,12,3789
19/06/2014,12,12,12,12,12,0
20/06/2014,12.75,12.75,12.25,12,12,89650
23/06/2014,12,12,12,12,12,0
24/06/2014,12,12,12,12,12,0
25/06/2014,12.75,12.75,12.75,12.75,12.75,50000
26/06/2014,12.75,12.75,12.75,12.75,12.75,0
27/06/2014,12.75,12.75,12.75,12.75,12.75,0
30/06/2014,12.75,12.75,12.75,12.75,12.75,0
01/07/2014,13,13,13,13,13,0
02/07/2014,13,13,13,13,13,0
03/07/2014,13.75,14.53,13.75,14.25,14.25,256633
04/07/2014,13.75,13.75,13.55,14.25,14.25,70000
07/07/2014,14.9,15,14.1,14.5,14.5,79000
08/07/2014,14.5,14.5,14.5,14.5,14.5,0
09/07/2014,14.1,14.1,14.1,14,14,50000
10/07/2014,13.5,13.9,13.5,14,14,162463
11/07/2014,14,14,14,14,14,0
14/07/2014,14,14,14,14,14,0
15/07/2014,13.88,13.88,13.75,14,14,200000
16/07/2014,14,14,14,14,14,0
17/07/2014,13.51,13.51,13.51,13.5,13.5,25000
18/07/2014,13.5,13.5,13.5,13.5,13.5,0
21/07/2014,13.5,13.5,13.5,13.5,13.5,25000
22/07/2014,13.5,13.5,13.5,13.5,13.5,0
23/07/2014,13.25,13.25,13.25,13.25,13.25,0
24/07/2014,13.25,13.25,13.25,13.25,13.25,0
25/07/2014,13,12.5,11.5,11.5,11.5,36130
28/07/2014,11.5,11.5,11.5,11.5,11.5,0
29/07/2014,11.38,11.38,11,10.625,10.625,19558
30/07/2014,10.75,10.75,10.75,10.75,10.75,12907
31/07/2014,10.5,10.5,10.5,10.25,10.25,32907
01/08/2014,10.5,10.5,10.5,10.25,10.25,71
04/08/2014,10.4,10.4,10.4,10.5,10.5,29211
05/08/2014,10.5,10.5,10.5,10.5,10.5,0
06/08/2014,10.5,10.5,10.5,10.5,10.5,0
07/08/2014,10.9,10.9,10.9,10.5,10.5,74
08/08/2014,10.5,10.5,10.5,10.5,10.5,0
11/08/2014,10,10,10,9.75,9.75,7500
12/08/2014,9.5,9.5,9.5,9,9,9378
13/08/2014,9,9,9,8.75,8.75,6666
14/08/2014,9,9,9,9,9,0
15/08/2014,9,9,9,9,9,0
18/08/2014,9.5,9.5,9.5,9.5,9.5,5032
19/08/2014,9.5,9.5,9.5,9.5,9.5,0
20/08/2014,9.48,9.48,9.48,9.5,9.5,575014
21/08/2014,7.5,10,7.5,10,10,193054
22/08/2014,10.5,10.5,9.5,10,10,31826
26/08/2014,10,10,10,10,10,0
27/08/2014,10,10,10,10,10,0
28/08/2014,10,10,10,10,10,0
29/08/2014,10.5,10.5,10.5,10,10,75962
01/09/2014,10.5,10.5,10.5,10.5,10.5,0
02/09/2014,10.5,10.5,10.5,10.5,10.5,0
03/09/2014,10.5,10.5,10.5,10.5,10.5,0
04/09/2014,9.8,9.8,9.5,9.625,9.625,20000
05/09/2014,9.25,9.25,9.25,8.5,8.5,30532
