date,close,volume,open,high,low
23/05/2016,27.94,19815960,27.78,28.25,27.78
24/05/2016,28.47,26490870,28.01,28.58,28.01
25/05/2016,28.92,25723080,28.58,29,28.52
26/05/2016,28.9,19365060,28.86,29.04,28.795
27/05/2016,28.92,16650070,28.95,29.035,28.79
31/05/2016,29.05,28575400,28.8,29.08,28.76
01/06/2016,28.9,22237240,28.84,29.04,28.8
02/06/2016,29.08,19508360,28.98,29.15,28.92
03/06/2016,29.13,18675650,29.13,29.21,28.9
06/06/2016,29.1,16144740,29.07,29.41,29.06
07/06/2016,29.07,21566330,28.9,29.35,28.82
08/06/2016,29.14,17772330,29.09,29.27,29.06
09/06/2016,29.14,18321800,28.97,29.19,28.83
10/06/2016,29.03,18244190,28.79,29.03,28.77
13/06/2016,28.84,17160040,28.97,29.19,28.82
14/06/2016,28.96,19277320,28.66,29,28.63
15/06/2016,28.65,30683060,28.49,28.86,28.405
16/06/2016,28.87,17441150,28.38,28.92,28.37
17/06/2016,28.95,32318640,28.88,29,28.69
20/06/2016,28.8,22068700,29.04,29.22,28.78
21/06/2016,28.77,19096750,28.97,29,28.73
22/06/2016,28.72,18272060,28.87,29.08,28.68
23/06/2016,29.22,19354200,29.03,29.225,28.96
24/06/2016,27.75,44330820,28.16,28.57,27.7
27/06/2016,27.31,30025240,27.48,27.55,27.13
28/06/2016,27.79,24641640,27.55,27.85,27.5
29/06/2016,28.26,25589980,28.13,28.33,27.9
30/06/2016,28.69,25182600,28.38,28.69,28.07
01/07/2016,28.8,20899110,28.78,28.93,28.59
05/07/2016,28.33,22116570,28.23,28.615,28.22
06/07/2016,28.72,24843840,28.45,28.77,28.17
07/07/2016,28.74,17395210,28.72,28.9,28.61
08/07/2016,29.26,24646250,28.91,29.28,28.88
11/07/2016,29.43,21688010,29.34,29.7,29.26
12/07/2016,29.61,22137610,29.72,29.74,29.52
13/07/2016,29.75,18023570,29.72,29.83,29.58
14/07/2016,29.76,19330290,29.84,29.99,29.64
15/07/2016,29.82,17794570,29.93,29.95,29.66
18/07/2016,29.91,17372020,29.75,29.995,29.74
19/07/2016,29.92,18492760,29.91,30.01,29.77
20/07/2016,30.63,50128940,30.04,30.69,29.98
21/07/2016,30.58,21580930,30.64,30.72,30.37
22/07/2016,30.71,19350050,30.7,30.87,30.54
25/07/2016,30.79,15172190,30.67,30.83,30.63
26/07/2016,30.88,21323530,30.8,31.15,30.71
27/07/2016,30.76,22699160,30.95,30.97,30.66
28/07/2016,30.52,22443050,30.65,30.74,30.37
29/07/2016,30.53,23781470,30.6,30.69,30.47
01/08/2016,30.73,22424350,30.7,30.75,30.36
02/08/2016,30.62,24482410,30.82,30.82,30.395
03/08/2016,30.72,15960960,30.51,30.74,30.51
04/08/2016,30.8,18520200,30.78,30.91,30.71
05/08/2016,31.04,18836710,30.9,31.07,30.69
08/08/2016,31.01,19019910,31,31.19,30.86
09/08/2016,30.94,19142890,31.11,31.245,30.84
10/08/2016,30.85,16657280,31.01,31.13,30.74
11/08/2016,30.95,24019930,30.95,31.02,30.86
12/08/2016,30.87,13426030,30.92,30.99,30.8
15/08/2016,31.19,21931340,30.98,31.24,30.89
16/08/2016,31.12,23363100,31.22,31.23,30.98
17/08/2016,30.72,54715910,30.97,30.9701,30.33
18/08/2016,30.48,48656960,30.41,30.67,30.06
19/08/2016,30.52,25117460,30.37,30.65,30.24
22/08/2016,30.63,28645230,30.44,30.78,30.37
23/08/2016,30.98,23489340,30.83,31.06,30.79
24/08/2016,31.06,24460420,30.98,31.2,30.95
25/08/2016,31.29,22915650,31.06,31.39,31.02
26/08/2016,31.35,21089920,31.34,31.66,31.19
29/08/2016,31.58,21049980,31.43,31.7,31.41
30/08/2016,31.54,17782180,31.61,31.66,31.4144
31/08/2016,31.44,20418490,31.45,31.58,31.25
01/09/2016,31.58,15964090,31.42,31.64,31.26
02/09/2016,31.83,18144570,31.65,31.95,31.65
06/09/2016,31.87,17627880,31.93,31.94,31.7
07/09/2016,31.79,14049810,31.79,31.9336,31.75
08/09/2016,31.47,19867760,31.72,31.75,31.415
09/09/2016,30.85,25379810,31.14,31.34,30.85
12/09/2016,31.44,22551300,30.61,31.495,30.6
13/09/2016,31.06,23578250,31.26,31.35,30.9
14/09/2016,31,24347960,31.01,31.225,30.805
15/09/2016,31.31,25993400,30.63,31.39,30.61
16/09/2016,30.84,37364950,31.12,31.14,30.7
19/09/2016,31.02,16817940,30.85,31.25,30.82
20/09/2016,31.1,15878660,31.08,31.22,31.04
21/09/2016,31.36,21150600,31.11,31.38,30.97
22/09/2016,31.66,20220880,31.5,31.8,31.49
