date,close,volume,open,high,low
23/05/2016,115.97,20409860,117.42,117.6,115.94
24/05/2016,117.7,20156400,116.24,117.73,116.12
25/05/2016,117.89,20026150,118.13,118.665,117.38
26/05/2016,119.47,18437640,118.24,119.7601,117.92
27/05/2016,119.38,13476050,119.56,119.85,119.01
31/05/2016,118.81,23526050,119.46,120.1,118.121
01/06/2016,118.78,15003570,118.5,119.08,117.82
02/06/2016,118.93,13216260,118.69,119.44,118.22
03/06/2016,118.47,14115480,118.975,118.98,117.86
06/06/2016,118.79,12721610,118.62,119.43,118.36
07/06/2016,117.76,17069990,119.24,119.3,117.67
08/06/2016,118.39,14493990,117.76,118.6,117.27
09/06/2016,118.56,13842230,118.13,118.68,117.71
10/06/2016,116.62,18474380,117.54,118.11,116.26
13/06/2016,113.95,31675970,115,115.48,113.31
14/06/2016,114.94,17573960,114.07,114.95,113.58
15/06/2016,114.6,19789270,115.3,115.44,114.07
16/06/2016,114.39,19207560,113.87,114.5,112.94
17/06/2016,113.02,24410770,114.42,114.43,112.56
20/06/2016,113.37,20746500,113.77,114.72,112.75
21/06/2016,114.38,18997270,114.12,115.2142,113.97
22/06/2016,113.91,14811570,114.65,114.74,113.61
23/06/2016,115.08,16096460,114.37,115.09,113.54
24/06/2016,112.08,40555840,111.01,113.68,111
27/06/2016,108.97,36172810,111.57,111.57,108.23
28/06/2016,112.7,26772900,110.63,112.75,110.55
29/06/2016,114.16,20935530,113.37,114.25,113.04
30/06/2016,114.28,23159510,114.67,115.18,113.67
01/07/2016,114.19,14955080,114.2,115.13,113.81
05/07/2016,114,14206220,113.94,114.11,112.97
06/07/2016,116.7,24318520,113.36,116.79,112.97
07/07/2016,115.85,16612350,116.63,116.97,115.36
08/07/2016,117.24,18117330,116.43,117.5,115.85
11/07/2016,117.87,17613670,117.71,118.7,117.5
12/07/2016,117.93,15084590,118.63,118.72,117.57
13/07/2016,116.78,16180680,118.39,118.4,116.68
14/07/2016,117.29,14554060,117.5,117.64,116.7
15/07/2016,116.86,16601530,117.74,118.28,116.58
18/07/2016,119.37,20816900,117.32,119.61,116.89
19/07/2016,120.61,21502910,118.99,120.85,118.66
20/07/2016,121.92,19991920,121.25,122.2,120.56
21/07/2016,120.61,17787630,121.92,122.1,120.25
22/07/2016,121,18363590,119.9,121.01,119.31
25/07/2016,121.63,18453230,121.39,121.85,117.78
26/07/2016,121.22,17417060,122,122.07,120.75
27/07/2016,123.34,50218420,122.42,125,121.51
28/07/2016,125,78673980,127.52,128.33,123.63
29/07/2016,123.94,34943890,124.65,125.84,123.71
01/08/2016,124.31,24986020,123.85,124.58,122.86
02/08/2016,123.09,23919790,124.06,124.8,122.07
03/08/2016,122.51,18479970,123.09,123.92,122.31
04/08/2016,124.36,21052200,122.94,124.79,122.51
05/08/2016,125.15,20144810,124.98,125.835,124.6184
08/08/2016,125.26,15216950,125.25,125.45,124.55
09/08/2016,125.06,19587330,125.34,126.09,124.53
10/08/2016,124.88,10645370,125.07,125.48,124.54
11/08/2016,124.9,11708610,125.2,125.38,124.75
12/08/2016,124.88,12146150,124.7,125,124.18
15/08/2016,123.9,19280400,124.91,124.92,123.7
16/08/2016,123.3,14209580,123.5,123.92,122.78
17/08/2016,124.37,13759700,123.66,124.38,122.85
18/08/2016,123.91,12378280,124.01,124.26,123.64
19/08/2016,123.56,11582430,123.6,124.157,123.28
22/08/2016,124.15,14377070,123.33,124.83,123.11
23/08/2016,124.37,13302050,124.51,125.09,124.25
24/08/2016,123.48,12226720,124.47,124.69,123.09
25/08/2016,123.89,10720680,123.12,124.37,123.1
26/08/2016,124.96,17467840,124.05,125.19,123.91
29/08/2016,126.54,15901270,124.35,126.73,124.35
30/08/2016,125.84,17778300,126.6,126.6,125.15
31/08/2016,126.12,14183190,125.6,126.22,125.1
01/09/2016,126.17,13522260,126.38,126.63,125.6
02/09/2016,126.51,12074470,126.85,126.86,126
06/09/2016,129.73,26241480,126.67,129.94,126.47
07/09/2016,131.05,27942000,130.04,131.98,129.95
08/09/2016,130.27,15655250,130.92,131.08,129.81
